GENERATION,FNAME,SURNAME,SUFFIX,CHILD,FAG,FS,WIKITREE
09,Elizabeth,ALLRED,,,,,
04,Jesse Jerome,ALLRED,,,,,
05,Franklin,ALLRED,PVT,,,,
06,Alsey,ALLRED,,,,,
07,Solomon,ALLRED,PVT,,,,
08,Thomas,ALLRED,,,,,
,,ALLRED,,,,,
,,ALLRED,,,,,
,,ALLRED,,,,,
