GENERATION,FNAME,SURNAME,SUFFIX,CHILD,FAG,FS,WIKITREE
08,Elizabeth,RUSSELL,,,57916729,LHZM-6KV,Russell-11641
09,George,RUSSELL,Captain,,63574609,LCFV-B9B,Russell-2021
10,William,RUSSELL,Colonel,,222227586,PC4F-LCW,
11,,RUSSELL,,,,,
12,,RUSSELL,,,,,
13,,RUSSELL,,,,,
14,,RUSSELL,,,,,
15,,RUSSELL,,,,,
16,,RUSSELL,,,,,
