GENERATION,FNAME,SURNAME,SUFFIX,CHILD,FAG,FS,WIKITREE
03,Ina,SEYMORE,,,,,
04,Jesse Jerome,SEYMORE,,,,,
05,Franklin,SEYMORE,PVT,,,,
06,Alsey,SEYMORE,,,,,
07,Solomon,SEYMORE,PVT,,,,
08,Thomas,SEYMORE,,,,,
,,SEYMORE,,,,,
,,SEYMORE,,,,,
,,SEYMORE,,,,,
